structure_class,structure_classification,design_strength,height,natural_elastic_period,fraction_in_first_mode,height_to_displacement,yield_to_design,ultimate_to_yield,ductility,damping_s,damping_m,damping_l,damping_Be,structural_damage_slight,structural_damage_moderate,structural_damage_extreme,structural_damage_complete
BUILDING,W1,0.20000000,14.00000000,0.20000000,0.80000000,0.80000000,1.50000000,2.50000000,4.00000000,0.01000000,0.01000000,0.01000000,0.15000000,0.00100000,0.00800000,0.01500000,0.03000000
BUILDING,W2,0.05000000,24.00000000,0.40000000,0.75000000,0.75000000,1.50000000,2.50000000,6.00000000,0.40000000,0.20000000,0.00000000,0.15000000,0.00320000,0.00790000,0.02450000,0.06000000
BUILDING,S1L,0.03300000,24.00000000,0.50000000,0.80000000,0.75000000,1.50000000,3.00000000,5.00000000,0.40000000,0.20000000,0.00000000,0.10000000,0.00480000,0.00760000,0.01620000,0.04000000
BUILDING,S1M,0.02500000,60.00000000,1.08000000,0.80000000,0.75000000,1.25000000,3.00000000,3.30000000,0.40000000,0.20000000,0.00000000,0.10000000,0.00320000,0.00510000,0.01080000,0.02670000
BUILDING,S1H,0.01700000,156.00000000,2.21000000,0.75000000,0.60000000,1.10000000,3.00000000,2.50000000,0.40000000,0.20000000,0.00000000,0.10000000,0.00240000,0.00380000,0.00810000,0.02000000
BUILDING,S2L,0.05000000,24.00000000,0.40000000,0.75000000,0.75000000,1.50000000,2.00000000,5.00000000,0.40000000,0.20000000,0.00000000,0.10000000,0.00400000,0.00640000,0.01600000,0.04000000
BUILDING,S2M,0.05000000,60.00000000,0.86000000,0.75000000,0.75000000,1.25000000,2.00000000,3.30000000,0.40000000,0.20000000,0.00000000,0.10000000,0.00270000,0.00430000,0.01070000,0.02670000
BUILDING,S2H,0.03800000,156.00000000,1.77000000,0.65000000,0.60000000,1.10000000,2.00000000,2.50000000,0.40000000,0.20000000,0.00000000,0.10000000,0.00200000,0.00320000,0.00080000,0.02000000
BUILDING,S3,0.05000000,15.00000000,0.40000000,0.75000000,0.75000000,1.50000000,2.00000000,5.00000000,0.40000000,0.20000000,0.00000000,0.10000000,0.00320000,0.00510000,0.01280000,0.03500000
BUILDING,S4L,0.04000000,24.00000000,0.35000000,0.75000000,0.75000000,1.50000000,2.25000000,5.00000000,0.40000000,0.20000000,0.00000000,0.10000000,0.00320000,0.00510000,0.01280000,0.03500000
BUILDING,S4M,0.04000000,60.00000000,0.65000000,0.75000000,0.75000000,1.25000000,2.25000000,3.30000000,0.40000000,0.20000000,0.00000000,0.10000000,0.00210000,0.00340000,0.00860000,0.02330000
BUILDING,S4H,0.03000000,156.00000000,1.32000000,0.65000000,0.60000000,1.10000000,2.25000000,2.50000000,0.40000000,0.20000000,0.00000000,0.10000000,0.00160000,0.00260000,0.00640000,0.01750000
