LATITUDE,LONGITUDE,SITE_CLASS,VS30 
-25.00,129.80,B,760
-25.00,129.81,B,760
-25.00,129.82,B,760
-25.00,129.83,B,760
-25.00,129.84,B,760
-25.00,129.85,B,760
-25.00,129.86,B,760
-25.00,129.87,B,760
-25.00,129.88,B,760
-25.00,129.89,B,760
-25.00,129.90,B,760
-25.00,129.91,B,760
-25.00,129.92,B,760
-25.00,129.93,B,760
-25.00,129.94,B,760
-25.00,129.95,B,760
-25.00,129.96,B,760
-25.00,129.97,B,760
-25.00,129.98,B,760
-25.00,129.99,B,760
-25.00,130.00,B,760
-25.00,130.01,B,760
-25.00,130.02,B,760
-25.00,130.03,B,760
-25.00,130.04,B,760
-25.00,130.05,B,760
-25.00,130.06,B,760
-25.00,130.07,B,760
-25.00,130.08,B,760
-25.00,130.09,B,760
-25.00,130.10,B,760
-25.00,130.11,B,760
-25.00,130.12,B,760
-25.00,130.13,B,760
-25.00,130.14,B,760
-25.00,130.15,B,760
-25.00,130.16,B,760
-25.00,130.17,B,760
-25.00,130.18,B,760
-25.00,130.19,B,760
-25.00,130.20,B,760
